lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,regime
0.175,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5369058794014199,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.24122139675240795,0.9139528185022696,0.31646243104363964,0.46309412059858013,homeostatic_trap
0.1775,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5326778490692071,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.23632581598069877,0.9139528185022696,0.31434841587753326,0.4673221509307929,homeostatic_trap
0.18,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5285021368951108,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2315348159678022,0.9139528185022696,0.3122605597904851,0.47149786310488917,homeostatic_trap
0.1825,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5243780222383644,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.22684616192611753,0.9139528185022696,0.3101985024621119,0.4756219777616356,homeostatic_trap
0.185,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5203047412718995,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.22225764490573072,0.9139528185022696,0.30816186197887946,0.4796952587281005,homeostatic_trap
0.1875,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5162815426211583,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.21776710377365885,0.9139528185022696,0.30615026265350886,0.48371845737884167,homeostatic_trap
0.19,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5123076871487829,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.21337242417794364,0.9139528185022696,0.30416333491732117,0.48769231285121706,homeostatic_trap
0.1925,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5083824477431803,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.20907153753419827,0.9139528185022696,0.30220071521451985,0.4916175522568197,homeostatic_trap
0.195,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5045051091108735,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2048624200340935,0.9139528185022696,0.30026204589836647,0.49549489088912646,homeostatic_trap
0.1975,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5006749675726004,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.20074309167533913,0.9139528185022696,0.2983469751292299,0.49932503242739956,homeostatic_trap
0.2,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.49689133086305753,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.196711615312665,0.9139528185022696,0.29645515677445844,0.5031086691369424,homeostatic_trap
